"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x721822765993631744","x1116232707770671105",2019-04-11 06:53:10,"joel_treadwell","Nancy Pelosi just called Trump’s request to ban late-term abortion “Really quite a sad thing.”

No Pelosi, killing babies is a sad thing.

Who else thinks she should be removed from office? 😡✋🏾","Twitter for Android",140,,,,FALSE,TRUE,0,5701,,,,,,,,,,,,,,"x4639413136","marklutchman","en",,,,,,,,,,,,,,,,"x1116006103438057473","Nancy Pelosi just called Trump’s request to ban late-term abortion “Really quite a sad thing.”

No Pelosi, killing babies is a sad thing.

Who else thinks she should be removed from office? 😡✋🏾",2019-04-10 15:52:44,"Twitter for iPhone",15440,5701,"x4639413136","marklutchman","Mark Lutchman 🇺🇸",120009,247,2267,"Philadelphia, PA","Writer - Former Army National Guardsman - 25 years old - Fighting political correctness & lying media. Join me. 😊👍🏾 —————- Support my Work!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/joel_treadwell/status/1116232707770671105","Joel L Treadwell","Georgia, USA","JESUS DIED TO SAVE MY SOUL.HE'S MY LORD, MY FRIEND AND MY KING! !!!! #JESUS #Christian #MAGA 
HAPPILY MARRED/NO PORN OR SEXUAL DMs! DERANGED LIBERALS =BLOCK!",,FALSE,5091,5817,18,84191,28797,2016-04-17 22:08:53,FALSE,,,"en","https://pbs.twimg.com/profile_banners/721822765993631744/1542199559",,"http://pbs.twimg.com/profile_images/721831079741681668/UsIZgEtH_normal.jpg"
"x782090190974099456","x1116232707581722626",2019-04-11 06:53:10,"StuffedFantod","If you're asking, ""How do we remove Trump?"" -- Watch this TEDx video.

This scholar, by data analysis, found militant, tactically strategic non-violence has been the most successful model, by far, in removing authoritarian regimes.

#Resist #Resistance
https://t.co/WaSb9kKoEt","Twitter Web App",140,,,,FALSE,TRUE,0,29,,,,,,,,,,,,,,"x53003100","flowingfire","en",,,,,,,,,,,,,,,,"x1116054114255945728","If you're asking, ""How do we remove Trump?"" -- Watch this TEDx video.

This scholar, by data analysis, found militant, tactically strategic non-violence has been the most successful model, by far, in removing authoritarian regimes.

#Resist #Resistance
https://t.co/WaSb9kKoEt",2019-04-10 19:03:30,"Twitter Web Client",39,29,"x53003100","flowingfire","David, Fiery Resister",15419,16670,3182,"Minnesota, USA","Living by faith as a non-violent #resister, I cry from rooftops: Humanity must embrace new philosophies, models, and economics to survive past the 21st Century.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/StuffedFantod/status/1116232707581722626","Rachael K. 🏳️‍🌈🏴","Turtle Island, the Duwamish Pl","Don't mourn; organize.  Queer, Wobbly, mum, nerd, blahblah. An owie to one is an owie to all. #IWW She/her.",,FALSE,1585,4580,9,72380,230207,2016-10-01 05:30:06,FALSE,,,"en","https://pbs.twimg.com/profile_banners/782090190974099456/1535384490","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1108457089997758464/QGHvd7jA_normal.jpg"
"x786364356296527872","x1116232707514621953",2019-04-11 06:53:10,"rstforusa1","Woah. I think I figured it out. Took almost 2 weeks but I think I got it. Please correct me if I'm wrong - but the reason President Trump keeps throwing the word ""treason"" around like a football is because there’ll soon be credible allegation of his enemies committing treason🤔🧐","Twitter for Android",140,,,,FALSE,TRUE,0,687,,,,,,,,,,,,,,"x2853760653","SayWhenLA","en",,,,,,,,,,,,,,,,"x1116183033147793408","Woah. I think I figured it out. Took almost 2 weeks but I think I got it. Please correct me if I'm wrong - but the reason President Trump keeps throwing the word ""treason"" around like a football is because there’ll soon be credible allegation of his enemies committing treason🤔🧐",2019-04-11 03:35:47,"Twitter for Android",2031,687,"x2853760653","SayWhenLA","Wyatt",38518,4817,7715,"America","#1A #2A  Tell Em The Law's Coming.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/rstforusa1/status/1116232707514621953","TRUMP2020!!","","Christain, mother, wife, 2nd amendment, pro life, retired law enforcement. Donate to: https://t.co/O5S0tGL6kR",,FALSE,1682,1894,11,67440,67190,2016-10-13 00:34:07,FALSE,,,"en","https://pbs.twimg.com/profile_banners/786364356296527872/1476466470",,"http://pbs.twimg.com/profile_images/786983699384406016/FoU1KeXf_normal.jpg"
"x615103079","x1116232707145527296",2019-04-11 06:53:10,"cm677427","Trump says he has not seen or read Mueller's Russia probe report https://t.co/lvoqBbL35P #GoxNews","Twitter Web Client",110,,,,FALSE,TRUE,0,1,"GoxNews",,"news.yahoo.com/trump-says-not…","https://t.co/lvoqBbL35P","https://news.yahoo.com/trump-says-not-seen-read-muellers-russia-probe-135031258.html",,,,,,,,,"x1021484011326255104","GoxNews","en",,,,,,,,,,,,,,,,"x1116227144319791104","Trump says he has not seen or read Mueller's Russia probe report https://t.co/lvoqBbL35P #GoxNews",2019-04-11 06:31:04,"dlvr.it",0,1,"x1021484011326255104","GoxNews","Gox News",5003,426,3831,"","#GoxNews",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cm677427/status/1116232707145527296","Chris MAGA 🇦🇺🇺🇸","","Australia once enjoyed a reputation as one of the richest nations in the world we had freedoms that are slowly but surely being whittled away...",,FALSE,6540,6506,3,15119,10494,2012-06-22 12:02:36,FALSE,,,"en","https://pbs.twimg.com/profile_banners/615103079/1524963884","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/946977205174788096/yH_2nG2d_normal.jpg"
"x951905948712419328","x1116232706608644097",2019-04-11 06:53:10,"BonitaCanadian","11/ On 2/26/17, Trump tweeted that “Russia talk is fake news...” https://t.co/OiUYNoW50x https://t.co/Gol1y9lsll","Twitter for Android",128,,,,FALSE,TRUE,0,171,,,"cnn.com/2017/02/15/pol…","https://t.co/OiUYNoW50x","https://www.cnn.com/2017/02/15/politics/trump-russia-issues/index.html","http://pbs.twimg.com/media/D3w6iDYXsAIbOkY.jpg","https://t.co/Gol1y9lsll","https://twitter.com/jennycohn1/status/1115831170099499008/photo/1","photo","http://pbs.twimg.com/media/D3w6iDYXsAIbOkY.jpg","https://t.co/Gol1y9lsll","https://twitter.com/jennycohn1/status/1115831170099499008/photo/1",,"x4541535439","jennycohn1","en",,,,,,,,,,,,,,,,"x1115831170099499008","11/ On 2/26/17, Trump tweeted that “Russia talk is fake news...” https://t.co/OiUYNoW50x https://t.co/Gol1y9lsll",2019-04-10 04:17:36,"Twitter for iPhone",362,171,"x4541535439","jennycohn1","Jennifer Cohn",76887,6907,86923,"","Election security advocate & writer; attorney; Contributor @WhoWhatWhy, @NYRDaily #HandMarkedPaperBallots #ProtectOurVotes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BonitaCanadian/status/1116232706608644097","Bonita","","Highly opinionated. Personal political opinions.  Speaking out required for change.  Laughing required too!  And of course,  independent cats are my heroes.",,FALSE,683,1197,0,38403,16881,2018-01-12 19:57:18,FALSE,,,"en","https://pbs.twimg.com/profile_banners/951905948712419328/1552173501",,"http://pbs.twimg.com/profile_images/1104537241349611520/F3KvII7l_normal.jpg"
"x951905948712419328","x1116232671204499456",2019-04-11 06:53:02,"BonitaCanadian","10/ On 2/19/17, reports surfaced that Michael Flynn had received a hand-delivered letter outlining a way for President Trump to lift sanctions against Russia. https://t.co/eQT2blCNRd","Twitter for Android",140,,,,FALSE,TRUE,0,557,,,,,,,,,,,,,,"x4541535439","jennycohn1","en",,,,,,,,,,,,,,,,"x1115830505763737600","10/ On 2/19/17, reports surfaced that Michael Flynn had received a hand-delivered letter outlining a way for President Trump to lift sanctions against Russia. https://t.co/eQT2blCNRd",2019-04-10 04:14:58,"Twitter for iPhone",680,557,"x4541535439","jennycohn1","Jennifer Cohn",76887,6907,86923,"","Election security advocate & writer; attorney; Contributor @WhoWhatWhy, @NYRDaily #HandMarkedPaperBallots #ProtectOurVotes",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BonitaCanadian/status/1116232671204499456","Bonita","","Highly opinionated. Personal political opinions.  Speaking out required for change.  Laughing required too!  And of course,  independent cats are my heroes.",,FALSE,683,1197,0,38403,16881,2018-01-12 19:57:18,FALSE,,,"en","https://pbs.twimg.com/profile_banners/951905948712419328/1552173501",,"http://pbs.twimg.com/profile_images/1104537241349611520/F3KvII7l_normal.jpg"
"x2738228687","x1116232706592071680",2019-04-11 06:53:10,"jodyne1978","Fun facts.

Trump’s net worth has gone down since taking office &amp; he still donates his entire salary.

Obama’s net worth went up in office &amp; he kept all of his.

Melania employs a staff of 4 people.

And Michelle employed 23.

Giving back to America is what the Trumps do best. 💯","Twitter for Android",144,,,,FALSE,TRUE,0,3602,,,,,,,,,,,,,,"x817661098988019712","Education4Libs","en",,,,,,,,,,,,,,,,"x1116154622421323778","Fun facts.

Trump’s net worth has gone down since taking office &amp; he still donates his entire salary.

Obama’s net worth went up in office &amp; he kept all of his.

Melania employs a staff of 4 people.

And Michelle employed 23.

Giving back to America is what the Trumps do best. 💯",2019-04-11 01:42:53,"Twitter for iPhone",8002,3602,"x817661098988019712","Education4Libs","Educating Liberals",351298,291184,7707,"Minnesota, USA","Digital soldier. My name is Dylan. Follow me & we can take on the liberal insanity together! #WWG1WGA 🇺🇸",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/jodyne1978/status/1116232706592071680","TMH","","",,FALSE,70,1371,0,1471,2079,2014-08-09 16:04:21,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/979072592438071297/dCSaFncT_normal.jpg"
"x574610719","x1116232706277294080",2019-04-11 06:53:10,"camoxendale","1/ In California on Friday, a senior administration official tells CNN, President Trump told border agents he wanted them to stop letting people cross the border, despite the fact that Central American asylum seekers according to US law can do so.","Twitter for iPad",140,,,,FALSE,TRUE,0,1991,,,,,,,,,,,,,,"x14529929","jaketapper","en",,,,,,,,,,,,,,,,"x1115021905524854784","1/ In California on Friday, a senior administration official tells CNN, President Trump told border agents he wanted them to stop letting people cross the border, despite the fact that Central American asylum seekers according to US law can do so.",2019-04-07 22:41:53,"Twitter for iPhone",5029,1991,"x14529929","jaketapper","Jake Tapper",2026722,7317,189927,"","CNN Anchor of @TheLeadCNN and @CNNSOTU and Chief Washington Correspondent; author of the NYT best-selling novel @TheHellfireClub and non fiction @TheOutpostBook",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/camoxendale/status/1116232706277294080","cam oxendale","","",,FALSE,23,18,0,470,4149,2012-05-08 16:34:06,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x574610719","x1116232673335205891",2019-04-11 06:53:02,"camoxendale","Obama official Neal Katyal: Trump attack on judges is 'despicable' https://t.co/XLZGhLN7H3","Twitter for iPad",107,,,,FALSE,TRUE,0,723,,,"a.msn.com/09/en-us/BBVK1…","https://t.co/XLZGhLN7H3","http://a.msn.com/09/en-us/BBVK1e5?ocid=st",,,,,,,,,"x780206406024691712","neal_katyal","en",,,,,,,,,,,,,,,,"x1115452782222422016","Obama official Neal Katyal: Trump attack on judges is 'despicable' https://t.co/XLZGhLN7H3",2019-04-09 03:14:02,"Twitter Web Client",2462,723,"x780206406024691712","neal_katyal","Neal Katyal",193559,399,7811,"Washington, DC","Supreme Court lawyer; law professor; extremist centrist. Former Acting Solicitor General of United States. All views mine, no one else's.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/camoxendale/status/1116232673335205891","cam oxendale","","",,FALSE,23,18,0,470,4149,2012-05-08 16:34:06,FALSE,,,"en",,"http://abs.twimg.com/images/themes/theme1/bg.png","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x923012197084778496","x1116232706117992448",2019-04-11 06:53:10,"MikeSco99861392","@HillaryClinton I ware a MAGA hat I'm also a deplorable disabled Army Veteran! 
Trump in 2020","Twitter for Android",93,,"x1339835893","HillaryClinton",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x1339835893","HillaryClinton","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MikeSco99861392/status/1116232706117992448","Mike Scott","","",,FALSE,8,38,0,3078,174,2017-10-25 02:23:51,FALSE,,,"en",,,"http://pbs.twimg.com/profile_images/1111071755903385600/knFk5Flw_normal.jpg"
